Run,Bases,population,Super_Population_Code,HapMap_sample_ID,BAM
ERR244430,318767000,TSI,EUR,NA20803,
ERR241464,318771200,TSI,EUR,NA20510,
ERR244476,318771600,TSI,EUR,NA20510,
ERR239714,318803600,LWK,AFR,NA19446,
ERR241224,318847600,TSI,EUR,NA20510,
ERR244470,318953200,TSI,EUR,NA20803,
ERR239691,318978800,LWK,AFR,NA19437,
ERR243860,319008000,CEU,EUR,NA12776,
ERR246042,319130000,JPT,EAS,NA18973,
ERR240261,319147600,JPT,EAS,NA18965,
ERR241178,319242800,TSI,EUR,NA20803,
ERR239768,319247800,JPT,EAS,NA18945,
ERR239717,319254400,LWK,AFR,NA19446,
ERR244238,319310600,JPT,EAS,NA18965,
ERR240150,319315800,JPT,EAS,NA18949,
ERR242263,319392400,TSI,EUR,NA20538,
ERR239676,319497000,LWK,AFR,NA19437,
ERR240240,319566200,JPT,EAS,NA18949,
ERR240305,319601600,JPT,EAS,NA18941,
ERR240078,319859400,JPT,EAS,NA18956,
ERR241458,319864600,TSI,EUR,NA20803,
ERR246030,319891000,JPT,EAS,NA18973,
ERR240276,319914600,JPT,EAS,NA18965,
ERR244216,319915600,JPT,EAS,NA18965,
ERR244777,319957400,TSI,EUR,NA20803,
ERR240274,319975600,JPT,EAS,NA18973,
ERR241218,319984400,TSI,EUR,NA20803,
ERR240296,320050800,JPT,EAS,NA18943,
ERR242881,320143000,TSI,EUR,NA20510,
ERR242920,320144800,TSI,EUR,NA20510,
ERR242045,320201800,TSI,EUR,NA20798,
ERR244808,320207600,TSI,EUR,NA20510,
ERR241424,320231200,TSI,EUR,NA20510,
ERR242844,320248200,TSI,EUR,NA20510,
ERR244201,320256600,JPT,EAS,NA18965,
ERR241258,320260600,TSI,EUR,NA20803,
ERR243397,320409600,CEU,EUR,NA12749,
ERR241304,320412200,TSI,EUR,NA20510,
ERR241344,320423000,TSI,EUR,NA20510,
ERR246066,320445000,JPT,EAS,NA18973,
ERR244802,320557000,TSI,EUR,NA20803,
ERR244781,320575800,TSI,EUR,NA20803,
ERR243439,320598000,CEU,EUR,NA12749,
ERR242235,320755800,TSI,EUR,NA20532,
ERR239733,320845600,LWK,AFR,NA19437,
ERR239781,320902800,JPT,EAS,NA18965,
ERR240351,320904200,JPT,EAS,NA18965,
ERR242914,320940000,TSI,EUR,NA20803,
ERR244783,320971400,TSI,EUR,NA20803,
ERR244214,320998600,JPT,EAS,NA18973,
ERR241965,321005400,TSI,EUR,NA20798,
ERR240306,321061800,JPT,EAS,NA18965,
ERR240321,321164000,JPT,EAS,NA18965,
ERR243426,321170600,CEU,EUR,NA11893,
ERR240336,321175800,JPT,EAS,NA18965,
ERR239702,321219800,LWK,AFR,NA19446,
ERR243376,321220000,CEU,EUR,NA12749,
ERR239811,321248000,JPT,EAS,NA18965,
ERR239796,321291600,JPT,EAS,NA18965,
ERR239886,321301400,JPT,EAS,NA18965,
ERR244229,321341000,JPT,EAS,NA18973,
ERR240289,321489800,JPT,EAS,NA18973,
ERR241418,321563600,TSI,EUR,NA20803,
ERR241925,321651400,TSI,EUR,NA20798,
ERR241338,321654600,TSI,EUR,NA20803,
ERR241298,321679400,TSI,EUR,NA20803,
ERR241885,321688000,TSI,EUR,NA20798,
ERR243384,321734000,CEU,EUR,NA11893,
ERR241384,321789400,TSI,EUR,NA20510,
ERR239794,322036600,JPT,EAS,NA18973,
ERR243355,322059600,CEU,EUR,NA12749,
ERR243334,322130000,CEU,EUR,NA12749,
ERR242085,322246400,TSI,EUR,NA20798,
ERR241845,322262800,TSI,EUR,NA20798,
ERR239871,322316400,JPT,EAS,NA18965,
ERR240349,322501400,JPT,EAS,NA18973,
ERR240364,322549800,JPT,EAS,NA18973,
ERR239736,322565600,LWK,AFR,NA19437,
ERR243460,322570800,CEU,EUR,NA12749,
ERR243363,322571600,CEU,EUR,NA11893,
ERR240319,322633400,JPT,EAS,NA18973,
ERR239809,322701400,JPT,EAS,NA18973,
ERR239824,322740400,JPT,EAS,NA18973,
ERR240334,322759000,JPT,EAS,NA18973,
ERR239826,322786600,JPT,EAS,NA18965,
ERR239899,322931400,JPT,EAS,NA18973,
ERR242699,323003200,TSI,EUR,NA20528,
ERR239841,323038600,JPT,EAS,NA18965,
ERR242005,323084800,TSI,EUR,NA20798,
ERR241378,323109600,TSI,EUR,NA20803,
ERR243342,323187400,CEU,EUR,NA11893,
ERR243447,323237000,CEU,EUR,NA11893,
ERR243321,323266000,CEU,EUR,NA11893,
ERR244702,323271000,TSI,EUR,NA20544,
ERR240776,323272600,TSI,EUR,NA20533,
ERR242678,323509400,TSI,EUR,NA20544,
ERR243418,323647000,CEU,EUR,NA12749,
ERR243114,323695400,CEU,EUR,NA12043,
ERR239884,323900200,JPT,EAS,NA18973,
ERR239727,323939000,LWK,AFR,NA19437,
ERR243405,324040200,CEU,EUR,NA11893,
ERR239839,324157800,JPT,EAS,NA18973,
ERR239856,324167400,JPT,EAS,NA18965,
ERR243313,324210800,CEU,EUR,NA12749,
